time_s,gpu_total_MB,gpu_process_MB,cpu_rss_MB
926.42,12514.0,2673.0,0.9
927.52,12514.0,2673.0,0.9
928.58,12514.0,2673.0,0.9
930.79,12514.0,2673.0,0.9
931.92,12514.0,2673.0,0.9
932.99,12514.0,2673.0,0.9
934.1,12514.0,2673.0,0.9
935.16,12514.0,2673.0,0.9
936.24,12514.0,2673.0,0.9
938.35,12514.0,2673.0,0.9
939.43,12514.0,2673.0,0.9
940.5,12514.0,2673.0,0.9
941.58,12514.0,2673.0,0.9
942.69,12514.0,2673.0,0.9
944.7,12514.0,2673.0,0.9
945.83,12514.0,2673.0,0.9
946.99,12514.0,2673.0,0.9
948.08,12514.0,2673.0,0.9
949.16,12514.0,2673.0,0.9
950.24,12514.0,2673.0,0.9
952.53,12514.0,2673.0,0.9
953.61,12514.0,2673.0,0.9
954.73,12534.0,2693.0,0.9
955.83,12534.0,2693.0,0.9
956.94,12534.0,2693.0,0.9
959.55,12534.0,2693.0,0.9
960.63,12534.0,2693.0,0.9
961.77,12534.0,2693.0,0.9
962.91,12534.0,2693.0,0.9
964.04,12534.0,2693.0,0.9
966.77,12534.0,2693.0,0.9
967.91,12534.0,2693.0,0.9
969.0,12534.0,2693.0,0.9
970.13,12534.0,2693.0,0.9
971.27,12534.0,2693.0,0.9
973.98,12534.0,2693.0,0.9
975.09,12536.0,2695.0,0.9
976.22,12542.0,2701.0,0.9
977.35,12542.0,2701.0,0.9
978.46,12542.0,2701.0,0.9
980.81,12548.0,2707.0,0.9
981.89,12562.0,2721.0,0.9
983.03,12562.0,2721.0,0.9
984.14,12562.0,2721.0,0.9
985.27,12562.0,2721.0,0.9
986.7,12562.0,2721.0,0.9
988.24,12570.0,2729.0,0.9
989.34,12570.0,2729.0,0.9
990.43,12570.0,2729.0,0.9
991.49,12570.0,2729.0,0.9
992.58,12570.0,2729.0,0.9
994.83,12570.0,2729.0,0.9
995.92,12570.0,2729.0,0.9
996.98,12570.0,2729.0,0.9
998.1,12570.0,2729.0,0.9
999.17,12570.0,2729.0,0.9
1000.27,12570.0,2729.0,0.9
1002.68,12570.0,2729.0,0.9
1003.79,12570.0,2729.0,0.9
1004.89,12570.0,2729.0,0.9
1005.99,12570.0,2729.0,0.9
1007.04,12570.0,2729.0,0.9
1009.22,12570.0,2729.0,0.9
1010.34,12570.0,2729.0,0.9
1011.43,12590.0,2749.0,0.9
1012.56,12590.0,2749.0,0.9
1013.75,12590.0,2749.0,0.9
1015.98,12590.0,2749.0,0.9
1017.13,12590.0,2749.0,0.9
1018.21,12590.0,2749.0,0.9
1019.26,12590.0,2749.0,0.9
1020.35,12590.0,2749.0,0.9
1021.47,12590.0,2749.0,0.9
1024.23,12590.0,2749.0,0.9
1025.36,12590.0,2749.0,0.9
1026.44,12590.0,2749.0,0.9
1027.57,12590.0,2749.0,0.9
1028.71,12590.0,2749.0,0.9
1031.08,12590.0,2749.0,0.9
1032.17,12592.0,2751.0,0.9
1033.29,12592.0,2751.0,0.9
1034.36,12592.0,2751.0,0.9
1035.47,12592.0,2751.0,0.9
1037.93,12608.0,2767.0,0.9
1039.06,12608.0,2767.0,0.9
1040.15,12608.0,2767.0,0.9
1041.3,12608.0,2767.0,0.9
